Date,Content,Reviewer-Name,Rating
Stayed in January 2025,"The room was very comfortable and clean to a high standard, above all expectations for the price, I will definitely be booking again when I come back to EdinburghStayed in January 2025",Katy,10
Stayed in December 2024,"Nothing, it all was perfect.Very friendly staff and very cleanStayed in December 2024",Greg,10
Stayed in January 2025,"Nothing at allLovely hotel, clean and very nicely decorated. Staff were super helpful and friendly and allowed us to check in earlier and also leave our luggage there whilst we explored on the last day. They also gave us recommendations of things to do as the weather was appalling! The breakfast in the morning was great value and you wouldn't need anything more, there was plenty to choose from. I'd booked this trip for my moms birthday, and she loved the decor of the hotel - so a very pleasant stay thank you!Stayed in January 2025",Maddison,9.0
Stayed in January 2025,Especially strong and satisfying shower water pressure.Stayed in January 2025,Lu,10
Stayed in January 2025,"Would have liked a little more option than a continental breakfast, but it was fine none the lessExcellent location, spotlessly clean, very quirky..Stayed in January 2025",Craig,10
Stayed in December 2024,fantastic location and lovely clean roomsStayed in December 2024,Chirag,9.0
Stayed in January 2025,"No milk with tea/coffee in room. I am sure if I asked I would have got some. I was yo tired.Great location, decor  very modern. Rooms comfort beds very comfy. Excellent continental breakfast. Staff lovely.Stayed in January 2025",Sharon,9.0
Stayed in December 2024,"My room was so very small, no where to put my luggage and a squeeze to hang up my wardrobe. However the manager without expense to myself moved me to a room that was just perfect for my long stay.The location was very good for walking to places of interest. The staff were friendly and helpful. The surroundings , lounge area, bar & restaurant were lovely.Stayed in December 2024",Sandy,8.0
Stayed in January 2025,Location was excellent. the room and bathroom were immaculate and very stylish. Everything we needed was there. Tea and coffee. hairdryer. Lovely and warm. Breakfast was spot on. So much Choice. Price was excellent.Stayed in January 2025,June,10
Stayed in January 2025,Not much if I was to be really picky a full English breakfast might have been preferred by myself rather than a continental breakfast. But that is being picky as the continental was still very good.hotel staff. Clean hotelStayed in January 2025,Darren,9.0
Stayed in January 2025,"The room was a bit on the smaller side but still cute!Amazing atmosphere and design, recently renovated!Stayed in January 2025",Georgios,9.0
Stayed in January 2025,The only problem was the rooms are small when we went in but warm and bed was comfortable.so everything else was much more positive s .I loved that the staff were very helpful I asked a few questions about were to go also the breakfast had lots on offer and very healthy lots to eat when we were leaving hotel they offered us if we were going shopping we could leave our cases so nice also a brilliant location so central  shops right at the next st great restaurants in the square so I don't have far to travel.would definitely recommend it  I normally go bk April or may but now I know we're going no hesitation definitely the ibis.Stayed in January 2025,Monaghan,10
Stayed in December 2024,"Central location, bright modern hotel. Very dog friendly. Welcoming friendly staff. Nice breakfast.Stayed in December 2024",Nicola,10
Stayed in December 2024,"The room was very small and the bed was very uncomfortable. 
Sadly,there was also no restaurant at the hotel so no option to have a meal.The location was great and enabled us to see areas of Edinburgh that we had never seen before.Stayed in December 2024",Nicola,8.0
Stayed in December 2024,Our twin room was very small. . I expected more for the price.Great location and loved the quirky decor. Breakfast was good too.Stayed in December 2024,Jill,8.0
Stayed in December 2024,"View from our room ,toilets like a weatherspoons toilet far away from bar.macdonalds meals on floor in bar area .room ok for one night but on small side for more than one night .My travel partner ,the decor was nice, continental breakfast was lovely,well stocked ,clean bathroom, comfy bed ,staff polite and eventful , entertainment good ,24/7 bar ,24/7 info service , chocolate and wines on arrival amazing .leave your bag serviceStayed in December 2024",Chris,9.0
Stayed in December 2024,Toilets on a different floor was just oddEntertainment was good. Decor beautifulStayed in December 2024,Sandra,10
Stayed in December 2024,"Very strong smell of cat piss in the bathroom in the room, plastic plants. Cluttered roomBed , pillows and linen. Porridge for breakfast, nicely decorated lobbyStayed in December 2024",Anastasia,8.0
Stayed in December 2024,Nearby eventsStayed in December 2024,Eric,10
Stayed in December 2024,"Excellent central location with nice breakfast at a very reasonable price. Hotel was nice, clean and modern.Stayed in December 2024",Sushil,9.0
Stayed in December 2024,NaEverythingStayed in December 2024,Elijah,10
Stayed in December 2024,The room was spacious. Location was great and everything was walking distance. Staff were super friendly. Breakfast could satisfy all types of appetites. Just awesome !Stayed in December 2024,Hayat,9.0
Stayed in December 2024,Floor covering to bedroom.Very good location in EdinburghStayed in December 2024,Michael,8.0
Stayed in December 2024,"Nothing really - all was fantasticGreat location, great staff, cozy and lovely room and awesome breakfast :) Will come back again for sureStayed in December 2024",Kris,10
Stayed in December 2024,"Breakfast was sometimes very congested and it was difficult to find a place to sit. Rooms were on the smaller side, although, we had everything we needed.Location was very walkable to everything we wanted to see and do. Tram and train very close, post office, post box, parks, restaurants, playhouse right out your door.  
Morning breakfast was outstanding…all the staff were friendly and helpful.Stayed in December 2024",Jo,9.0
Stayed in December 2024,"Our room wasn’t cleaned even though we had selected the ‘please clean’ button. We resorted to taking clean towels off the cleaning trolley for ourselves.The location was really good, big selection of continental breakfast including meats, cheese etc. staff are really nice and it’s a lovely comforting hotel.Stayed in December 2024",Lauren,10
Stayed in September 2024,"View from window but it wasn’t a problem 😉Location, modern design, variety of breakfastStayed in September 2024",Lenka,10
Stayed in December 2024,"Close to city centre, close to all monuments, castle’sStayed in December 2024",Nicolae,10
Stayed in November 2024,Breakfast was ok nothing specialIdeal for what we wanted. Great location all staff were great.Stayed in November 2024,Donald,8.0
Stayed in December 2024,Faced a stone wall.Breakfast was great. Room was clean. Decor was really funky and fun.Stayed in December 2024,Ann,8.0
Stayed in December 2024,NothingLocation was Great!Stayed in December 2024,Loretta,10
Stayed in December 2024,Nothing at allEverythingStayed in December 2024,Jennifer,10
Stayed in December 2024,Staff were friendly. Rooms were very clean. Location was excellentStayed in December 2024,James,10
Stayed in December 2024,"The location is perfect and central for all attractions we needed e.g. shops, castle and restaurants. My son and I like walking but everything is local.Stayed in December 2024",Paul,9.0
Stayed in December 2024,The TV signal/ WiFi is really poor so whilst the TV is really modern it’s actually quite hard to useStunning property and great location. Really tastefully decorated and modern.Stayed in December 2024,Rhian,10
Stayed in December 2024,"Staff, main reception, very polite and good customer service.Stayed in December 2024",Goodrich,10
Stayed in December 2024,"Powdered ""fruit"" drink. Totally below the standard of all else. A tiny thing, but fruit juice should be fresh juice in my tiny opinion.Great location, lovely welcoming staff, unique and vibrant decor. Modern feel.Stayed in December 2024",Roy,8.0
Stayed in December 2024,"The staff were very welcoming 
The room comfy 
Really like the hotelStayed in December 2024",Helen,10
Stayed in December 2024,Staff super friendly and welcoming. Lovely view of St Andrews Square. Very close to rail station.Stayed in December 2024,Sharon,9.0
Stayed in December 2024,No fridge in room for holding  juice no safeNice room good location breakfast lovely  very quietStayed in December 2024,Fiona,10
Stayed in December 2024,NothingCentral location. Near transport links. Close to attractions.Stayed in December 2024,Neil,10
Stayed in December 2024,"Less cig ends outside, group of men swearing in bar unchallenged so we went to another barBoos BF located centralStayed in December 2024",Keith,8.0
Stayed in December 2024,"The only thing we weren’t too pleased about was waiting 25+ minutes after ordering and paying for our drinks (at the bar) to be forgotten about and having to go back up and ask where they were. The member of staff that served us was lovely and she apologised about it and gave us a refund for the inconvenience but had this not have happened it would of been 10/10.The staff were lovely, everything was very clean and the hotel in a great location. We also had breakfast included with our stay and this was superb.Stayed in December 2024",Ellie,9.0
Stayed in December 2024,"You are doing everything rightCentral location was excellent, breakfast was amazing and great value for money. Staff on arrival and departing was really friendly and helpful.Stayed in December 2024",Russell,10
Stayed in November 2024,"Not keen on the wood effect floors in the bedroom, lacked cosiness.The included breakfast offering was a nice start to the day. The shower was great. The location was good. Staff were friendly and helpfulStayed in November 2024",Sandra,9.0
Stayed in December 2024,"Little choice in cereals
Little on the cosy sideLocationStayed in December 2024",Sj,8.0
Stayed in November 2024,NothingExcellent location. Nice clean comfy bed. Breakfast was very tastyStayed in November 2024,Dmi,10
Stayed in December 2024,Great location for shopping and sightseeingStayed in December 2024,Lesley,9.0
Stayed in December 2024,"N/AFabulous location, central to everything would thoroughly recommend itStayed in December 2024",Lesley,10
Stayed in December 2024,"Extra bit of storage would have been betterLovely hotel in a great location. Hotel staff were very friendly, the hotel is tastefully decorated and to a good standard. The little finishing touches added help to compliment the hotel. Would highly recommend.Stayed in December 2024",Julie,8.0
Stayed in December 2024,Fabulous warm welcome. Everywhere was lovely and clean . Room was brilliant. Staff were friendly and always ready to help. Breakfast was amazing.we ate in the hotel both nights we were there and the food was very tasty and plentiful. Well done to all the staff .Stayed in December 2024,Amanda,10
Stayed in November 2024,"Liked everythingGreat location, lovely interior, room
Lovely decor, nice bar areaStayed in November 2024",Ashleigh,8.0
Stayed in November 2024,"The room was very cold and tricky to increase temperature and maintain it. 
Breakfast was chaos. So many people and not enough places to sit.Excellent location and value for money. I stayed in the room titled ' the works ' and it did indeed have everything.  Lots of extra details and a private corner balcony with great views. Bedding was very comfortable and toiletries fabulous.  Tea and coffee provided too and fluffy robes. Incredible for the price.Stayed in November 2024",Elinor,9.0
Stayed in December 2024,"NothingLocation is perfect, bright warm welcoming interior. Clean well organised room with high quality furnishings. Funky decorStayed in December 2024",Audrey,10
Stayed in December 2024,"The aircon is a bit of a faffNice hotel, great location friendly staffStayed in December 2024",Tony,9.0
Stayed in December 2024,"We booked this hotel because it’s supposed to be dog friendly.  The first morning whilst we were at breakfast a guest said our (small) dog had barked.  Three members of staff told us this so it was evident that we would have to change our plans and take the dog with us everywhere, day and night.  The hotel will take an additional fee from you but beware if your dog might make a noise.Great location for sightseeing and shopping.Stayed in December 2024",Stephen,8.0
Stayed in December 2024,Nothing at allLocation was perfectStayed in December 2024,Jennifer,8.0
Stayed in December 2024,Lifts were a bit slow at timesRoom was clean and breakfast was yummy - staff were very helpful and accommodatingStayed in December 2024,Sumera,10
Stayed in December 2024,Room and LocationStayed in December 2024,Suzanne,9.0
Stayed in December 2024,"BreakfastGreat location,  great hotel. Not a great breakfast.Stayed in December 2024",Gwen,8.0
Stayed in November 2024,room was very crampedstaff very helpful.Breakfast excellentStayed in November 2024,Hilary,8.0
Stayed in December 2024,Friendley staff clean roomsStayed in December 2024,Joanne,10
Stayed in December 2024,"Missed hot cooked brreakfast as last three years that has been availableLocation is idealRooms are very trendy & comfortableStayed in December 2024",Jennifer,8.0
Stayed in November 2024,"NAClose to a shoe at assembly rooms, great base with friendly staff, room clean with enough space, and everything you needStayed in November 2024",Karen,10
Stayed in November 2024,"rooms were quite small. Walls above bed were very dusty but this could have been as a result of work being done to front of hotel.Great location on St Andrews Square. 2 minute walk from Princes Street. Quirky decor, lovely continental breakfast. Quiet location and comfortable bedsStayed in November 2024",Damian,8.0
Stayed in November 2024,"That is very difficult to say. Although not a problem for me, there was no slip mat for the shower but perhaps that could have been supplied upon request.The location is excellent. Very central and just around the corner from George Street. The range and quality of the breakfast items could not be faulted.Stayed in November 2024",Timothy,9.0
Stayed in November 2024,"Room was quite small not much room between the toilet door and the bedGreat decor,quiet,comfortable bedStayed in November 2024",Lynne,8.0
Stayed in November 2024,"Twin room was on the small side. Especially for the rate paid.Funky decor, good location, comfortable bed, good breakfast.Stayed in November 2024",Mark,9.0
Stayed in November 2024,"breakfastlocation , clean room , lovely staffStayed in November 2024",Hollie,8.0
Stayed in November 2024,"We only stayed two nights, but on the second night we had someone trying to get into our room with a swipe card from 1am to the early hours of the morning.Good location, easy to get to old town and shopping mallsStayed in November 2024",Alena,8.0
Stayed in November 2024,"Scaffolding but I assume that’s temporary & can’t be helpedClean, lovely breakfast.Stayed in November 2024",Joan,8.0
Stayed in November 2024,Excellent Location- Friendly staffStayed in November 2024,Ann,9.0
Stayed in November 2024,Nothing it was lovely.Beautiful hotel in a prime location. All the staff were very attentive and friendly.Stayed in November 2024,Gillian,10
Stayed in September 2024,"The breakfast was great, plenty of options. The location was good, close to everything I wanted to see.Stayed in September 2024",Laurie,10
Stayed in November 2024,I loved the quirkiness of the hotel. The rooms and particularly the bathroom were so lovely. Reception and bar area decorated for Halloween and amazing. Staff lovely and breakfast was perfect. Ideally located.Stayed in November 2024,Sarah,10
Stayed in November 2024,"NothingThe staff were very friendly to us and our dog, nothing was too much trouble, would definitely consider returningStayed in November 2024",George,10
Stayed in November 2024,NothingStaff and characterStayed in November 2024,Sarah,10
Stayed in October 2024,"For an Ibis i found it expensive but it seems on par with accommodation prices in Scotland in generalThe location was great.  5 minute walk to Edinburgh Waveryley Bus Terminal and about 10 minutes walk to Edinburgh Waverly Train stationBreakfast was especially goodStayed in October 2024",Moya,10
Stayed in November 2024,The unexpected scaffolding around the building which meant we walked past it to begin with. An email mentioning this would have been helpful.Breakfast and location near to major sites and eateries.Stayed in November 2024,Daphne,9.0
Stayed in September 2024,Breakfast was good enough. Staff was very helpfulStayed in September 2024,Levent,9.0
Stayed in November 2024,NothingThe hotel is a gem!   Bright and cheery decor with neat artwork adorning all the walls.  I stayed during Halloween and the lobby and exterior was decorated beautifully!  Room was small but colorful and cheerful; bed very comfortable and shower was excellent.Stayed in November 2024,Alina,10
Stayed in November 2024,"The room was a little bit small for the priceLocation, staff and breakfastStayed in November 2024",Fabio,8.0
Stayed in November 2024,"All goodStaff were excellent, very friendly and helpfull, location superb, breakfast very goodStayed in November 2024",Bob,9.0
Stayed in October 2024,The wasn’t anything I didn’t like.The location was perfectly placed for us and the staff were so accommodating to our early arrival. Giving us a room straight away that was so spacious.Stayed in October 2024,Ellen,9.0
Stayed in November 2024,Nothing.Fantastic location. Very stylish. Amazing breakfast. Helpful staff.Stayed in November 2024,Claire,10
Stayed in November 2024,The facade was under construction and it took us a bit to find the hotelContinental breakfastStayed in November 2024,Erica,10
Stayed in November 2024,"Scaffolding but its not permanent !Location was perfect for shopping,dining and bars on George Street and Rose Street and only being 5 minutes from Edinburgh Waverley was a bonus.It was modern in decor....loved the Halloween decorations.Excellent choices at breakfast time,good coffee machine.Stayed in November 2024",Bernadette,9.0
Stayed in November 2024,"Fantastic location. Excellent breakfast beautifully presented. Bar / longe / eating area very comfortable, relaxed and beautifully decorated.Stayed in November 2024",Joanne,10
Stayed in October 2024,Location was great - short walk from tram - and breakfast was a very good selectionStayed in October 2024,Brian,9.0
Stayed in September 2024,"Replace the sink so that it is easier to sit on the toilet. No one needs a basin that large.Number 1 was the bed. Ibis had the only good bed out of the 5 different places where we stayed. The location was excellent. The breakfast was excellent. The room was small, but who cares when you actually get a supportive bed with a large TV in front of it.Stayed in September 2024",Steve,10
Stayed in October 2024,Location was central and breakfast which was included had an amazing range of choicesStayed in October 2024,Robyn,9.0
Stayed in September 2024,"The decorStaff very helpful, breakfast good, shower amazing.Stayed in September 2024",Sarah,8.0
Stayed in October 2024,"Room a bit on the small size. Breakfast was muCh better than anticipated,  suitable for diabetics. No sugar in the berries - great!Stayed in October 2024",Tina,8.0
Stayed in October 2024,"The breakfast was ok.Location perfect. Room good.Stayed in October 2024",Dawn,8.0
Stayed in October 2024,"Coffee was not good. In the room, shelving for cosmetics would be helpful.Loved the location. Breakfast was great although coffee was not so good. Staff was lovely and helpful.
The bar was cozy and comfortable.
Room was small but comfortable and very quiet.Stayed in October 2024",Ann,9.0
Stayed in September 2024,"No suggestionsThe staff was great and worked hard to accommodate our large group.  My wife and I were fortunate to have patio views of the city which was incredible.  The hotel as spotless and the entire staff worked hard to keep it that way.  The bar was quaint yet modern, and we often enjoyed a late evening drink.  Breakfast was good and I looked forward to it every day.  The location of the hotel exceeded my expectations.  All of the major sites were either within walking distance or a very short drive by Uber, taxi, bus, or light rail.  I have bad knees, but I still made it around the city just fine.  So much history and so much to see.  We spent 10 days in Scotland and enjoyed every minute.  Thank you Ibis St Andrews.Stayed in September 2024",Michael,10
Stayed in October 2024,The staff was SO helpful!!Stayed in October 2024,Linda,10
Stayed in October 2024,There wasn’t a huge range of food on the menu .It was a great location.  The styling of the hotel was fun and arty .  Clean and comfortable.  Quiet and in a good area . Huge tv with streaming stations .Stayed in October 2024,Angela,8.0
Stayed in September 2024,"The Ibis Styles is perfectly located in New Town on the edge of St Andrew's Square. I strongly recommend the Works Package as our balcony room on the 6th floor commanded views of Calton Hill and across Old Town all the way to Edinburgh Castle. The room was comfortable and well-appointed, and the staff couldn't have been more helpful. We had dinner and breakfast on two occasions and found the food delicious.Stayed in September 2024",David,10
Stayed in September 2024,The only thing that could be better is a fire place in the lounge areaThe breakfast was magnificent. The rooms were clean and very nice.Stayed in September 2024,Shanna,10
Stayed in September 2024,"The room was - to be polite - best described as 'snug', fine for a solo traveller but would be somewhat cramped for 2 adults with big suit cases.
Breakfast finishes at 10 am week days!Excellent Location, good security, comfortable bed, excellent shower.Stayed in September 2024",Finch,8.0
Stayed in September 2024,"May be a little difficult for people with mobility issues to enter the hotel by the front steps.Vibrant atmosphere with lots of art & framed posters from the annual Fringe festival. Young staff were all friendly& helpful. The breakfast selection was as diverse as any 5 star hotel. The room was comfortable & the bathroom was so modern and beautiful. 
     As a woman traveling alone, I appreciated the security of having to have use your room key to use the elevator.
I highly recommend this hotel.Stayed in September 2024",Coppelia,10
Stayed in September 2024,"Rooms are smallExcellent location, close to transport and attractions. Easy walk to the old town but away from the crowds.  Opposite a lovely park.Stayed in September 2024",Jacqueline,8.0
Stayed in September 2024,NothingLocation was great. Big plus that the staff would hold luggage. Friendly. Live music . Food was great.Stayed in September 2024,Susan,10
Stayed in September 2024,Breakfast lovely and atmosphere friendly and funky. Nice mix of ages of guests. Great design and art! Staff were excellent …so helpful and responsive. Excellent stay and looking forward to a return.Stayed in September 2024,Lois,8.0
Stayed in September 2024,"on previous stays we were on the 6th floor, this time 5th floor  so although still had the balcony a wee  table and chairs would have just been perfect.. but given time of year not really an issue..everything..Stayed in September 2024",Keith,9.0
Stayed in September 2024,"We didn't like the bathroom door! Its opaque glass, it doesn't shut/lock, which i think is a bit uncomfortable when you are sharing a small room.Excellent location, lovely staff, gorgeous breakfastStayed in September 2024",Barbara,8.0
Stayed in September 2024,Room was small but comfyIt was relaxed and friendlyStayed in September 2024,Paul,8.0
Stayed in August 2024,"Excellent location, very central. Room was fully equipped with everthing for a comfortable stay, spacious, bright, storage, mirrors & a very modern and spacious bathroom.Staff all very friendly.Stayed in August 2024",Victoria,9.0
Stayed in September 2024,Room too tinyBreakfastStayed in September 2024,Bartosz,8.0
Stayed in June 2024,costs arouns €40 in q taxi each take you to townstaff whwre eeally friendly. has the basic needs for any travellerStayed in June 2024,Daniel,8.0
Stayed in September 2024,I couldn’t get lift to operate on the nightVery good choice well presentedStayed in September 2024,John,10
Stayed in September 2024,"location, breakfastStayed in September 2024",Esin,9.0
Stayed in August 2024,"Our room was looked into from the street and it was very expensiveGreat location, service, staff and breakfastStayed in August 2024",Lisa,8.0
Stayed in August 2024,"Breakfast expensive, very continentalStayed in August 2024",Lyn,9.0
Stayed in August 2024,Breakfast very good.All goodStayed in August 2024,Philip,10
Stayed in August 2024,"Nothing!Location was perfect - away from the main Fringe madness but close enough to walk everywhere. Bed was very comfortable, staff were lovely and extremely hard working, the shower was fantastic and breakfast was wonderful!Stayed in August 2024",Debbie,10
Stayed in August 2024,"Nothing was all good very well run hotel Staff very helpfulBreakfast good great choice for contnentalStayed in August 2024",Isabel,10
Stayed in August 2024,Room a bit small and no drawers to put stuff in with a very small wardrobeLocation was greatStayed in August 2024,Helen,8.0
Stayed in August 2024,"The only small issues would be that our room was v small and the walls quite ""thin"" so you could hear other rooms sometimes. But these were small issues and overall it was a great stay.Great location. Breakfast was fantastic (everything available). Staff lovely, helpful and informative. Place clean and well run.Stayed in August 2024",Simon,8.0
Stayed in August 2024,Bedroom was a bit small but perfectly formed.Spotlessly clean. Friendly helpful staff. Lovely room great shower comfy bed. The bedroom was a  bit small but perfectly formed.Stayed in August 2024,Susan,9.0
Stayed in August 2024,The location was excellentStayed in August 2024,Kelly,9.0
Stayed in August 2024,"The room is very small, you don’t have much space to put stuff or open luggageVery clean, great breakfast and friendly staffStayed in August 2024",Luisa,8.0
Stayed in August 2024,"Everything was perfect.Modern, stylish and the balcony rooms have amazing views.Stayed in August 2024",Chris,10
Stayed in July 2024,The layout for breakfast.The location and the decor.Stayed in July 2024,Rose,10
Stayed in August 2024,"Toilet for dining downstairsBreakfast excellentStaff extremely helpful - especially AidanStayed in August 2024",Lucette,9.0
Stayed in August 2024,"Located a short walk from the castle. We were here for The Military Tattoo. Every hotel staff member was friendly and helpful, especially Tatiana. Room was clean and ready to accommodate us tired travelers. W actually arrived way before check in, but got into a similar room sooner than our booked room. Lovely bar and wonderful continental breakfast was served in the bar area. I highly recommend this wonderful hotel.Stayed in August 2024",Lucy,10
Stayed in August 2024,"Room was small, however fab views on the SquareEasy access to everywhere. Amazing breakfastStayed in August 2024",Francoise,9.0
Stayed in August 2024,Location.staff friendly.bedrooms small but cleanStayed in August 2024,Sandra,10
Stayed in July 2024,Ideal location and friendly staffStayed in July 2024,Dr,10
Stayed in August 2024,"The only thing I was surprised at was the dust under the bed when I searched for a dropped statin pill!The breakfast was excellent, with everything you could think of for a buffet breakfast. Nothing cooked apart from boiled eggs, but a huge variety of cold collations, sweet and savoury with delicious bread and the red fruits with yogurt and a little muesli were exceptionally good.Stayed in August 2024",Timothy,8.0
Stayed in August 2024,The only very small criticism was that the mattress on our bed was rather hard everything else was perfect……Perfect locationStayed in August 2024,Lisa,9.0
